num_training_step_calls_per_iteration,num_env_steps_sampled_lifetime,done,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,timers/training_iteration,timers/restore_env_runners,timers/training_step,timers/env_runner_sampling_timer,timers/learner_update_timer,timers/synch_weights,env_runners/num_env_steps_sampled,env_runners/env_reset_timer,env_runners/env_to_module_sum_episodes_length_out,env_runners/num_episodes_lifetime,env_runners/num_episodes,env_runners/env_to_module_sum_episodes_length_in,env_runners/weights_seq_no,env_runners/rlmodule_inference_timer,env_runners/env_step_timer,env_runners/time_between_sampling,env_runners/num_env_steps_sampled_lifetime,env_runners/sample,env_runners/num_env_steps_sampled_lifetime_throughput,fault_tolerance/num_healthy_workers,fault_tolerance/num_remote_worker_restarts,env_runner_group/actor_manager_num_outstanding_async_reqs,perf/cpu_util_percent,perf/ram_util_percent,env_runners/env_to_module_connector/connector_pipeline_timer,env_runners/module_to_env_connector/connector_pipeline_timer,env_runners/num_module_steps_sampled_lifetime/default_policy,env_runners/num_agent_steps_sampled_lifetime/default_agent,env_runners/num_module_steps_sampled/default_policy,env_runners/num_agent_steps_sampled/default_agent,learners/__all_modules__/num_module_steps_trained,learners/__all_modules__/num_env_steps_trained_lifetime,learners/__all_modules__/num_trainable_parameters,learners/__all_modules__/num_module_steps_trained_lifetime,learners/__all_modules__/num_non_trainable_parameters,learners/__all_modules__/learner_connector_sum_episodes_length_in,learners/__all_modules__/num_env_steps_trained,learners/__all_modules__/learner_connector_sum_episodes_length_out,learners/__all_modules__/num_env_steps_trained_lifetime_throughput,learners/__all_modules__/num_module_steps_trained_throughput,learners/__all_modules__/num_module_steps_trained_lifetime_throughput,learners/default_policy/vf_loss,learners/default_policy/policy_loss,learners/default_policy/vf_explained_var,learners/default_policy/mean_kl_loss,learners/default_policy/curr_entropy_coeff,learners/default_policy/curr_kl_coeff,learners/default_policy/total_loss,learners/default_policy/num_module_steps_trained,learners/default_policy/gradients_default_optimizer_global_norm,learners/default_policy/default_optimizer_learning_rate,learners/default_policy/vf_loss_unclipped,learners/default_policy/weights_seq_no,learners/default_policy/entropy,learners/default_policy/diff_num_grad_updates_vs_sampler_policy,learners/default_policy/module_train_batch_size_mean,learners/default_policy/num_trainable_parameters,learners/default_policy/num_module_steps_trained_lifetime,learners/default_policy/num_module_steps_trained_lifetime_throughput,learners/__all_modules__/learner_connector/connector_pipeline_timer,env_runners/env_to_module_connector/timers/connectors/add_time_dim_to_batch_and_zero_pad,env_runners/env_to_module_connector/timers/connectors/numpy_to_tensor,env_runners/env_to_module_connector/timers/connectors/batch_individual_items,env_runners/env_to_module_connector/timers/connectors/add_observations_from_episodes_to_batch,env_runners/env_to_module_connector/timers/connectors/add_states_from_episodes_to_batch,env_runners/module_to_env_connector/timers/connectors/remove_single_ts_time_rank_from_batch,env_runners/module_to_env_connector/timers/connectors/get_actions,env_runners/module_to_env_connector/timers/connectors/listify_data_for_vector_env,env_runners/module_to_env_connector/timers/connectors/normalize_and_clip_actions,env_runners/module_to_env_connector/timers/connectors/un_batch_to_individual_items,env_runners/module_to_env_connector/timers/connectors/tensor_to_numpy,learners/__all_modules__/learner_connector/timers/connectors/add_observations_from_episodes_to_batch,learners/__all_modules__/learner_connector/timers/connectors/general_advantage_estimation,learners/__all_modules__/learner_connector/timers/connectors/add_columns_from_episodes_to_train_batch,learners/__all_modules__/learner_connector/timers/connectors/add_states_from_episodes_to_batch,learners/__all_modules__/learner_connector/timers/connectors/add_time_dim_to_batch_and_zero_pad,learners/__all_modules__/learner_connector/timers/connectors/add_one_ts_to_episodes_and_truncate,learners/__all_modules__/learner_connector/timers/connectors/numpy_to_tensor,learners/__all_modules__/learner_connector/timers/connectors/batch_individual_items
1,3000.0,False,1,a852a_00000,2025-09-13_22-10-38,1757794238,13.460514068603516,13.460514068603516,500909,cda-server-4,10.157.146.4,13.460514068603516,1,13.456314669921994,2.1480023860931396e-05,13.456131337210536,11.479602275416255,1.97369684278965,0.0019115842878818512,1200.0,0.02424468193203211,18.43681268503695,0.0,0.0,18.43681268503695,0.0,0.0007329883745744309,0.044073915927818265,0.027074777527505325,3000.0,2.0182248802686598,24.215669492720554,6,0,0,34.63,24.800000000000004,0.0006474052766197329,0.0007338524705957512,3000.0,3000.0,1200.0,1200.0,36736,351288,147735,36736,0,1200,351288,1224,282157.9476125802,29505.01427645285,29505.522046002865,9.605225,0.015892522,0.0068591833,0.03854471,0.0,0.30000001192092896,9.628826,36736,3.497375,5e-05,2338.396,1.0,15.844888,1.0,128.0,147735,36736,29504.900410041817,0.04076997563242912,1.2680514170237603e-05,0.000333269415181579,3.241170483148214e-05,0.0001174273866772546,3.0769772506729344e-06,2.709039685916087e-06,0.0003144734724835025,3.255487947981271e-05,0.00011057990496437392,1.9661337999557857e-05,0.0001352636323590657,0.0001827385276556015,0.009834334254264832,0.01632712222635746,6.331130862236023e-06,2.2843480110168457e-05,0.0021426063030958176,0.00014686211943626404,0.011746799573302269
1,4200.0,False,2,a852a_00000,2025-09-13_22-11-12,1757794272,34.56059145927429,48.02110552787781,500909,cda-server-4,10.157.146.4,48.02110552787781,2,13.667284128442407,2.147393301129341e-05,13.667097373139114,11.698080820217728,1.9661651075072586,0.0019195003248751164,1200.0,0.02424468193203211,25.700809244864086,2.0000000000000004,2.0,25.700809244864086,1.0,0.00037054805550599423,0.10351202205378746,0.051236689015036384,4200.0,2.134086077911956,22.621409655127323,6,0,0,63.96734693877551,24.8,0.00030519035034822254,0.0005817263940084038,4200.0,4200.0,1200.0,1200.0,36864,704376,147735,73600,0,1200.0,353088,1224.02,282943.96267550375,29584.863340577416,29585.319041287334,9.478947,-0.1848126,-0.0034126043,0.036410984,0.0,0.45000001788139343,9.305058,36864,3.554503,5e-05,1689.3395,2.0,15.797583,1.0,128.0,147735,73600,29584.785801133476,0.040689537078142164,7.095348016004163e-06,0.00012496220242209642,3.291368128817745e-05,3.272545937944022e-05,3.7935204511762074e-06,3.0005250226726626e-06,0.00024282390626277509,3.7222741244927245e-05,8.660774809668567e-05,2.1110122413060377e-05,7.849237616905173e-05,0.00018277812749147414,0.0097986058332026,0.016304500624537466,6.3246302306652065e-06,2.2812224924564364e-05,0.002140891794115305,0.00014660209417343139,0.011728648673743009
1,5400.0,False,3,a852a_00000,2025-09-13_22-11-30,1757794290,17.466906547546387,65.4880120754242,500909,cda-server-4,10.157.146.4,65.4880120754242,3,13.705222338203342,2.138913180679083e-05,13.705033899878899,11.743583521980792,1.958572350825928,0.001935401933453977,1200.0,0.02424468193203211,27.087037502471333,1.9999999999999993,0.0,27.087037502471333,2.0,0.0003372402455540581,0.1170053547884005,0.06989776419771,5400.0,2.34471381915483,21.0790016737242,6,0,0,59.34400000000001,24.8,0.00025042707217145507,0.000553930000491541,5400.0,5400.0,1200.0,1200.0,36736,1055664,147735,110336,0,1200.0,351288,1224.0198,283607.39906449715,29654.4248174439,29654.886333115275,9.158378,-0.356291,-0.017468214,0.030449085,0.0,0.675000011920929,8.815789,36736,4.092974,5e-05,1635.0598,3.0,15.800903,1.0,128.0,147735,110336,29654.36628533293,0.04057862976789474,6.122371506751492e-06,9.351553250958016e-05,3.321593367344651e-05,2.086509053062054e-05,3.266282702394234e-06,2.941537697368026e-06,0.00023577870547795908,3.413416308881261e-05,8.508153415359884e-05,2.0563397742979865e-05,6.594418565598796e-05,0.00018274230398237704,0.009742959748022258,0.01628275722041726,6.318492628633975e-06,2.2789105400443078e-05,0.0021377274481579663,0.0001462966129183769,0.01170064778421074
1,6600.0,False,4,a852a_00000,2025-09-13_22-11-41,1757794301,11.360116004943848,76.84812808036804,500909,cda-server-4,10.157.146.4,76.84812808036804,4,13.681719529768937,2.1355209263041616e-05,13.681528728717403,11.727493418805413,1.9511460746151226,0.0019371530620176346,1200.0,0.02424468193203211,27.51761007086608,1.9999999999999984,0.0,27.51761007086608,3.0,0.0002971889404985657,0.05366587443429837,0.08132225028944694,6600.0,2.3411076598542375,21.128135757296004,6,0,0,36.325,24.8,0.00022191318966399148,0.0005155923218347494,6600.0,6600.0,1200.0,1200.0,36736,1406952,147735,147072,0,1200.0,351288,1224.019602,284218.4981876978,29718.541412771887,29718.964203338608,9.685383,-0.15440734,-0.031013727,0.03159868,0.0,1.0125000476837158,9.552303,36736,3.5540383,5e-05,1908.5482,4.0,15.684475,1.0,128.0,147735,147072,29718.50165784213,0.04048825944119691,5.961407303645482e-06,7.7607381263118e-05,3.069360644713049e-05,1.8833449630206376e-05,3.0873182040282156e-06,2.916728888816524e-06,0.00021805180289465593,3.248551615274133e-05,7.787784814716253e-05,1.9913685868042252e-05,6.0669542353521466e-05,0.00018266196758672594,0.00969304827720858,0.016260766538999973,6.310628263279794e-06,2.2768619883805513e-05,0.0021353004646543416,0.00014625490091741084,0.01168663979029469
1,7800.0,False,5,a852a_00000,2025-09-13_22-11-55,1757794315,13.446624279022217,90.29475235939026,500909,cda-server-4,10.157.146.4,90.29475235939026,5,13.679317203254453,2.1279511537905785e-05,13.679125233198153,11.731722600098287,1.9445082782369152,0.0019356716978887283,1200.0,0.02424468193203211,27.57529804358239,1.9999999999999976,0.0,27.57529804358239,4.0,0.00028578195703191366,0.048671517671343645,0.09317509054645011,7800.0,2.3432594659613852,21.318720488463125,6,0,0,38.968421052631584,24.8,0.00021459237938598386,0.0005055783120943361,7800.0,7800.0,1200.0,1200.0,36736,1758240,147735,183808,0,1200.0,351288,1224.01940598,284494.953380082,29747.528993199765,29747.960962263853,9.624177,-0.04545572,-0.029331923,0.023120068,0.0,1.5187500715255737,9.60213,36736,3.3455744,5e-05,1963.9523,5.0,15.813492,1.0,128.0,147735,183808,29747.49013336755,0.040408004678363196,5.82613993144172e-06,7.423848315841194e-05,2.9745205776569057e-05,1.827599615859991e-05,3.018600989855352e-06,2.8560979194928866e-06,0.00021377616598800358,3.1768976956444947e-05,7.47053600921267e-05,1.9656492353538527e-05,5.9928012679896405e-05,0.0001825680735609308,0.009638567961675205,0.01626432745902963,6.312118514422326e-06,2.2747128502987325e-05,0.002132504714232814,0.00014594104517176744,0.011662328080845417
1,9000.0,False,6,a852a_00000,2025-09-13_22-12-07,1757794327,12.28072738647461,102.57547974586487,500909,cda-server-4,10.157.146.4,102.57547974586487,6,13.665282568529289,2.123072232791651e-05,13.665089614309766,11.724194318371492,1.9379999601306699,0.0019342270893609689,1200.0,0.02424468193203211,27.583027059410142,1.9999999999999967,0.0,27.583027059410142,5.0,0.0002914770537179883,0.05595711279173645,0.10473435245546202,9000.0,2.372855929430822,20.818371065517944,6,0,0,40.95882352941176,24.8,0.00021923124902899224,0.0005161515791816442,9000.0,9000.0,1200.0,1200.0,36736,2109528,147735,220544,0,1200.0,351288,1224.0192119202002,284138.69100829796,29710.30463070627,29710.749867549508,9.553203,-0.19752908,-0.0049934387,0.021715635,0.0,2.278125047683716,9.388654,36736,3.8677168,5e-05,1821.6293,6.0,15.833302,1.0,128.0,147735,220544,29710.23450689965,0.040312100035204336,5.970831612967828e-06,7.531103849871153e-05,3.0877059090842045e-05,1.80472333907003e-05,3.0735040350857267e-06,2.8848046988497708e-06,0.00021866624475288675,3.216245994661348e-05,7.58521074330989e-05,1.9718686138460044e-05,6.155298003886997e-05,0.0001825257265440982,0.009585972641108487,0.016249365476585776,6.314432053370586e-06,2.2735984825589133e-05,0.0021300324858477813,0.00014565027691312876,0.011638582992700154
1,10200.0,False,7,a852a_00000,2025-09-13_22-12-25,1757794345,18.497737646102905,121.07321739196777,500909,cda-server-4,10.157.146.4,121.07321739196777,7,13.713556213678759,2.1188828509340484e-05,13.7133613067274,11.779194422750972,1.931264882890141,0.00193506549832509,1200.0,0.02424468193203211,27.584062590437714,1.9999999999999958,0.0,27.584062590437714,6.0,0.0002978558684306676,0.07457033158238413,0.11719223453584911,10200.0,2.4304629321705202,19.801943952994883,6,0,0,47.8074074074074,24.799999999999997,0.00022515423197909422,0.0005299075059985851,10200.0,10200.0,1200.0,1200.0,36736,2460816,147735,257280,0,1200.0,351288,1224.0190198009982,284140.9646650838,29710.79030646201,29711.178589668256,9.621952,-0.13149582,0.0081189275,0.01668918,0.0,2.278125047683716,9.528477,36736,3.5035129,5e-05,1856.7946,7.0,15.811761,1.0,128.0,147735,257280,29710.76754694212,0.040233854616861846,6.146520827947799e-06,7.721166112534376e-05,3.130946352896048e-05,1.8480896491272255e-05,3.1628094218321864e-06,2.955306555613468e-06,0.00022178748739004064,3.362635969474934e-05,7.843353250010518e-05,2.01950615452951e-05,6.311827228381109e-05,0.00018246087383564687,0.009543785314069266,0.01623700608724274,6.310817871806302e-06,2.274169776485651e-05,0.0021270959422626684,0.00014536634651834135,0.011619759088422795
1,11400.0,False,8,a852a_00000,2025-09-13_22-12-44,1757794364,18.54450225830078,139.61771965026855,500909,cda-server-4,10.157.146.4,139.61771965026855,8,13.761813599670255,2.112671552069674e-05,13.761617132322804,11.834045226618558,1.924658571893154,0.0019380508644075512,1200.0,0.02424468193203211,27.223584936638872,2.999999999999996,1.0,27.223584936638872,7.0,0.00030288976657146845,0.07221252845855934,0.12805734380024358,11400.0,2.4784255195735874,18.90688367676488,6,0,0,47.43846153846154,24.799999999999997,0.0002284125190306508,0.0005264746880534335,11400.0,11400.0,1200.0,1200.0,36864,2813616,147735,294144,0,1200.0,352800,1224.0288296029883,284246.9603839777,29720.8634269005,29721.21410400171,9.423237,-0.26445752,-0.00876236,0.017944483,0.0,2.278125047683716,9.199659,36864,3.2911077,5e-05,1488.614,8.0,15.6864805,1.0,128.0,147735,294144,29720.85626888949,0.04015069769549319,6.388541816178388e-06,7.741851535250505e-05,3.151366073227184e-05,1.8516701487158214e-05,3.1813007806258267e-06,2.9426376586384037e-06,0.00022198258867302026,3.347225904005327e-05,7.818925877112453e-05,2.002110818865462e-05,6.284249501463862e-05,0.00018249553885880124,0.009493932273688927,0.016230833015489363,6.31111413396806e-06,2.27192835123323e-05,0.002124688921588878,0.00014519967771901908,0.011596979950427294
1,12600.0,False,9,a852a_00000,2025-09-13_22-12-59,1757794379,15.362618923187256,154.9803385734558,500909,cda-server-4,10.157.146.4,154.9803385734558,9,13.777778836393137,2.108617841986828e-05,13.777581182235327,11.85720307553059,1.9174661270400253,0.0019347888673210548,1200.0,0.02424468193203211,27.403907388734464,2.9999999999999964,0.0,27.403907388734464,8.0,0.0003046616683829401,0.0780830492998575,0.13872060272038186,12600.0,2.5580166762192285,17.96951486076578,6,0,0,48.8590909090909,24.80454545454545,0.0002291779339900157,0.0005385156285379372,12600.0,12600.0,1200.0,1200.0,36736,3164904,147735,330880,0,1200.0,351288,1224.0285413069585,285143.14409940015,29814.81630203069,29815.148949407507,9.091898,-0.33933288,-0.014918208,0.018145086,0.0,2.278125047683716,8.793901,36736,4.1725693,5e-05,1494.5382,9.0,15.713901,1.0,128.0,147735,330880,29814.80152148789,0.04005920587540338,6.395891975156851e-06,7.829860754903037e-05,3.171710944681423e-05,1.8817949589878737e-05,3.217158398314766e-06,2.9926560503440967e-06,0.00022708615959288807,3.377612342308747e-05,7.913275407082447e-05,2.0204028471639277e-05,6.702120439586785e-05,0.00018256213687216024,0.009451044625526652,0.016210154671799447,6.305819498060509e-06,2.2683049057908136e-05,0.0021220730100930114,0.00014487685368419568,0.011573848687870987
1,13800.0,False,10,a852a_00000,2025-09-13_22-13-21,1757794401,21.80111289024353,176.78145146369934,500909,cda-server-4,10.157.146.4,176.78145146369934,10,13.857968512748172,2.100436069160832e-05,13.857769651796875,11.944455294832624,1.9103811223982934,0.0019473014494196337,1200.0,0.02424468193203211,27.560064195199924,2.9999999999999964,0.0,27.560064195199924,9.0,0.00030908520351405133,0.09192076717707016,0.14812305553905233,13800.0,2.6392151429007114,17.343537981789435,6,0,0,54.84516129032259,24.806451612903217,0.00023338168810235123,0.0005402537838780463,13800.0,13800.0,1200.0,1200.0,36736,3516192,147735,367616,0,1200.0,351288,1224.0282558938889,285924.9880524396,29896.772162931728,29897.089196817476,9.682715,-0.15118621,-0.0036637783,0.013664606,0.0,2.278125047683716,9.562659,36736,3.5711613,5e-05,1633.1613,10.0,15.82127,1.0,128.0,147735,367616,29896.762588630496,0.03997037393674317,6.3538587975752885e-06,8.104544530594377e-05,3.3130261531235914e-05,1.853996355576305e-05,3.2112847780165846e-06,2.9727153927152256e-06,0.00022505866071643215,3.360839894928689e-05,8.180164942849046e-05,2.174428800189698e-05,6.553752142007004e-05,0.0001825399844162785,0.009410554744274543,0.016188901843665036,6.299888629806817e-06,2.2656620558934813e-05,0.002119560333968379,0.000144522202908012,0.011551486148318699
